CustomerId,First Name,Last Name,ShipMode,Segment,City,Country,IngestionDate
CG-12520,Claire,Gute,Second Class,Consumer,Henderson,United States,2022-06-15
,,,,,,,2022-06-15
DV-13045,Darrin,Van Huff,Second Class,Corporate,Los Angeles,United States,2022-06-15
SO-20335,Sean,O'Donnell,Standard Class,Consumer,Fort Lauderdale,United States,2022-06-15
SO-20335,Sean,O'Donnell,Standard Class,Consumer,Fort Lauderdale,United States,2022-06-15
,,,,,,,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
AA-10480,Andrew,Allen,Standard Class,Consumer,Concord,United States,2022-06-15
IM-15070,Irene,Maddox,Standard Class,Consumer,Seattle,United States,2022-06-15
,,,,,,,2022-06-15
HP-14815,Harold,Pawlan,Standard Class,Home Office,Fort Worth,United States,2022-06-15
,,,,,,,2022-06-15
AG-10270,Alejandro,Grove,Second Class,Consumer,West Jordan,United States,2022-06-15
ZD-21925,Zuschuss,Donatelli,Second Class,Consumer,San Francisco,United States,2022-06-15
ZD-21925,Zuschuss,Donatelli,Second Class,Consumer,San Francisco,United States,2022-06-15
,,,,,,,2022-06-15
KB-16585,Ken,Black,Standard Class,Corporate,Fremont,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
EB-13870,Emily,Burns,Standard Class,Consumer,Orem,United States,2022-06-15
EH-13945,Eric,Hoffmann,Second Class,Consumer,Los Angeles,United States,2022-06-15
EH-13945,Eric,Hoffmann,Second Class,Consumer,Los Angeles,United States,2022-06-15
,,,,,,,2022-06-15
TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
,,,,,,,2022-06-15
TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
MA-17560,Matt,Abelman,Second Class,Home Office,Houston,United States,2022-06-15
GH-14485,Gene,Hale,First Class,Corporate,Richardson,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
SN-20710,Steve,Nguyen,Standard Class,Home Office,Houston,United States,2022-06-15
LC-16930,Linda,Cazamias,Standard Class,Corporate,Naperville,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
ON-18715,Odella,Nelson,First Class,Corporate,Eagan,United States,2022-06-15
,,,,,,,2022-06-15
LH-16900,Lena,Hernandez,Standard Class,Consumer,Dover,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
DP-13000,Darren,Powers,Standard Class,Consumer,New Albany,United States,2022-06-15
DP-13000,Darren,Powers,Standard Class,Consumer,New Albany,United States,2022-06-15
,,,,,,,2022-06-15
JM-15265,Janet,Molinari,Standard Class,Corporate,New York City,United States,2022-06-15
JM-15265,Janet,Molinari,Standard Class,Corporate,New York City,United States,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
,,,,,,,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
KM-16720,Kunst,Miller,Standard Class,Consumer,Los Angeles,United States,2022-06-15
KM-16720,Kunst,Miller,Standard Class,Consumer,Los Angeles,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
BS-11590,Brendan,Sweed,Standard Class,Corporate,Gilbert,United States,2022-06-15
,,,,,,,2022-06-15
HM-14980,Henry,MacAllister,Standard Class,Consumer,New York City,United States,2022-06-15
,,,,,,,2022-06-15
JE-15745,Joel,Eaton,Standard Class,Consumer,Memphis,United States,2022-06-15
,,,,,,,2022-06-15
JE-15745,Joel,Eaton,Standard Class,Consumer,Memphis,United States,2022-06-15
KB-16600,Ken,Brennan,First Class,Corporate,Houston,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
SC-20770,Stewart,Carmichael,First Class,Corporate,Decatur,United States,2022-06-15
,,,,,,,2022-06-15
,,,,,,,2022-06-15
JC-16105,Julie,Creighton,Standard Class,Corporate,Durham,United States,2022-06-15
CS-12400,Christopher,Schild,First Class,Home Office,Chicago,United States,2022-06-15
PO-18865,Patrick,O'Donnell,Second Class,Consumer,Columbia,United States,2022-06-15
PG-18895,Paul,Gonzalez,Standard Class,Consumer,Rochester,United States,2022-06-15
PG-18895,Paul,Gonzalez,Standard Class,Consumer,Rochester,United States,2022-06-15
GM-14455,Gary,Mitchum,Second Class,Home Office,Houston,United States,2022-06-15
JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
KB-16315,Karl,Braun,Second Class,Consumer,Minneapolis,United States,2022-06-15
,,,,,,,2022-06-15
KB-16315,Karl,Braun,Second Class,Consumer,Minneapolis,United States,2022-06-15
RB-19705,Roger,Barcio,Standard Class,Home Office,Portland,United States,2022-06-15
PN-18775,Parhena,Norris,Second Class,Home Office,New York City,United States,2022-06-15
KD-16345,Katherine,Ducich,First Class,Consumer,San Francisco,United States,2022-06-15
ER-13855,Elpida,Rittenbach,Standard Class,Corporate,Saint Paul,United States,2022-06-15
RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
