,CustomerId,First Name,Last Name,ShipMode,Segment,City,Country,IngestionDate
0,CG-12520,Claire,Gute,Second Class,Consumer,Henderson,United States,2022-06-15
1,,,,,,,,2022-06-15
2,DV-13045,Darrin,Van Huff,Second Class,Corporate,Los Angeles,United States,2022-06-15
3,SO-20335,Sean,O'Donnell,Standard Class,Consumer,Fort Lauderdale,United States,2022-06-15
4,SO-20335,Sean,O'Donnell,Standard Class,Consumer,Fort Lauderdale,United States,2022-06-15
5,,,,,,,,2022-06-15
6,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
7,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
8,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
9,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
10,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
11,BH-11710,Brosina,Hoffman,Standard Class,Consumer,Los Angeles,United States,2022-06-15
12,AA-10480,Andrew,Allen,Standard Class,Consumer,Concord,United States,2022-06-15
13,IM-15070,Irene,Maddox,Standard Class,Consumer,Seattle,United States,2022-06-15
14,,,,,,,,2022-06-15
15,HP-14815,Harold,Pawlan,Standard Class,Home Office,Fort Worth,United States,2022-06-15
16,,,,,,,,2022-06-15
17,AG-10270,Alejandro,Grove,Second Class,Consumer,West Jordan,United States,2022-06-15
18,ZD-21925,Zuschuss,Donatelli,Second Class,Consumer,San Francisco,United States,2022-06-15
19,ZD-21925,Zuschuss,Donatelli,Second Class,Consumer,San Francisco,United States,2022-06-15
20,,,,,,,,2022-06-15
21,KB-16585,Ken,Black,Standard Class,Corporate,Fremont,United States,2022-06-15
22,,,,,,,,2022-06-15
23,,,,,,,,2022-06-15
24,EB-13870,Emily,Burns,Standard Class,Consumer,Orem,United States,2022-06-15
25,EH-13945,Eric,Hoffmann,Second Class,Consumer,Los Angeles,United States,2022-06-15
26,EH-13945,Eric,Hoffmann,Second Class,Consumer,Los Angeles,United States,2022-06-15
27,,,,,,,,2022-06-15
28,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
29,,,,,,,,2022-06-15
30,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
31,,,,,,,,2022-06-15
32,,,,,,,,2022-06-15
33,TB-21520,Tracy,Blumstein,Standard Class,Consumer,Philadelphia,United States,2022-06-15
34,MA-17560,Matt,Abelman,Second Class,Home Office,Houston,United States,2022-06-15
35,GH-14485,Gene,Hale,First Class,Corporate,Richardson,United States,2022-06-15
36,,,,,,,,2022-06-15
37,,,,,,,,2022-06-15
38,,,,,,,,2022-06-15
39,,,,,,,,2022-06-15
40,SN-20710,Steve,Nguyen,Standard Class,Home Office,Houston,United States,2022-06-15
41,LC-16930,Linda,Cazamias,Standard Class,Corporate,Naperville,United States,2022-06-15
42,,,,,,,,2022-06-15
43,,,,,,,,2022-06-15
44,,,,,,,,2022-06-15
45,ON-18715,Odella,Nelson,First Class,Corporate,Eagan,United States,2022-06-15
46,,,,,,,,2022-06-15
47,LH-16900,Lena,Hernandez,Standard Class,Consumer,Dover,United States,2022-06-15
48,,,,,,,,2022-06-15
49,,,,,,,,2022-06-15
50,DP-13000,Darren,Powers,Standard Class,Consumer,New Albany,United States,2022-06-15
51,DP-13000,Darren,Powers,Standard Class,Consumer,New Albany,United States,2022-06-15
52,,,,,,,,2022-06-15
53,JM-15265,Janet,Molinari,Standard Class,Corporate,New York City,United States,2022-06-15
54,JM-15265,Janet,Molinari,Standard Class,Corporate,New York City,United States,2022-06-15
55,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
56,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
57,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
58,,,,,,,,2022-06-15
59,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
60,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
61,TB-21055,Ted,Butterfield,First Class,Consumer,Troy,United States,2022-06-15
62,,,,,,,,2022-06-15
63,,,,,,,,2022-06-15
64,KM-16720,Kunst,Miller,Standard Class,Consumer,Los Angeles,United States,2022-06-15
65,KM-16720,Kunst,Miller,Standard Class,Consumer,Los Angeles,United States,2022-06-15
66,,,,,,,,2022-06-15
67,,,,,,,,2022-06-15
68,BS-11590,Brendan,Sweed,Standard Class,Corporate,Gilbert,United States,2022-06-15
69,,,,,,,,2022-06-15
70,HM-14980,Henry,MacAllister,Standard Class,Consumer,New York City,United States,2022-06-15
71,,,,,,,,2022-06-15
72,JE-15745,Joel,Eaton,Standard Class,Consumer,Memphis,United States,2022-06-15
73,,,,,,,,2022-06-15
74,JE-15745,Joel,Eaton,Standard Class,Consumer,Memphis,United States,2022-06-15
75,KB-16600,Ken,Brennan,First Class,Corporate,Houston,United States,2022-06-15
76,,,,,,,,2022-06-15
77,,,,,,,,2022-06-15
78,,,,,,,,2022-06-15
79,,,,,,,,2022-06-15
80,SC-20770,Stewart,Carmichael,First Class,Corporate,Decatur,United States,2022-06-15
81,,,,,,,,2022-06-15
82,,,,,,,,2022-06-15
83,JC-16105,Julie,Creighton,Standard Class,Corporate,Durham,United States,2022-06-15
84,CS-12400,Christopher,Schild,First Class,Home Office,Chicago,United States,2022-06-15
85,PO-18865,Patrick,O'Donnell,Second Class,Consumer,Columbia,United States,2022-06-15
86,PG-18895,Paul,Gonzalez,Standard Class,Consumer,Rochester,United States,2022-06-15
87,PG-18895,Paul,Gonzalez,Standard Class,Consumer,Rochester,United States,2022-06-15
88,GM-14455,Gary,Mitchum,Second Class,Home Office,Houston,United States,2022-06-15
89,JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
90,JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
91,JS-15685,Jim,Sink,Standard Class,Corporate,Los Angeles,United States,2022-06-15
92,KB-16315,Karl,Braun,Second Class,Consumer,Minneapolis,United States,2022-06-15
93,,,,,,,,2022-06-15
94,KB-16315,Karl,Braun,Second Class,Consumer,Minneapolis,United States,2022-06-15
95,RB-19705,Roger,Barcio,Standard Class,Home Office,Portland,United States,2022-06-15
96,PN-18775,Parhena,Norris,Second Class,Home Office,New York City,United States,2022-06-15
97,KD-16345,Katherine,Ducich,First Class,Consumer,San Francisco,United States,2022-06-15
98,ER-13855,Elpida,Rittenbach,Standard Class,Corporate,Saint Paul,United States,2022-06-15
99,RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
100,RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
101,RB-19465,Rick,Bensley,Standard Class,Home Office,Chicago,United States,2022-06-15
102,GZ-14470,Gary,Zandusky,Second Class,Consumer,Rochester,United States,2022-06-15
103,LC-16870,Lena,Cacioppo,Standard Class,Consumer,Aurora,United States,2022-06-15
104,,,,,,,,2022-06-15
105,,,,,,,,2022-06-15
106,JM-15250,Janet,Martin,Standard Class,Consumer,Charlotte,United States,2022-06-15
107,JM-15250,Janet,Martin,Standard Class,Consumer,Charlotte,United States,2022-06-15
108,JM-15250,Janet,Martin,Standard Class,Consumer,Charlotte,United States,2022-06-15
109,PA-19060,Pete,Armstrong,Standard Class,Home Office,Orland Park,United States,2022-06-15
110,CV-12805,Cynthia,Voltz,Standard Class,Corporate,New York City,United States,2022-06-15
111,,,,,,,,2022-06-15
112,,,,,,,,2022-06-15
113,,,,,,,,2022-06-15
114,,,,,,,,2022-06-15
115,RC-19960,Ryan,Crowe,Second Class,Consumer,Columbus,United States,2022-06-15
