CustomerId;First Name;Last Name;ShipMode;Segment;City;Country;totalQuantityOfOrders
CG-12520;Claire;Gute;Second Class;Consumer;Henderson;United States;
CG-12520;Claire;Gute;Second Class;Consumer;Henderson;United States;
DV-13045;Darrin;Van Huff;Second Class;Corporate;Los Angeles;United States;
SO-20335;Sean;O'Donnell;Standard Class;Consumer;Fort Lauderdale;United States;
SO-20335;Sean;O'Donnell;Standard Class;Consumer;Fort Lauderdale;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
BH-11710;Brosina;Hoffman;Standard Class;Consumer;Los Angeles;United States;
AA-10480;Andrew;Allen;Standard Class;Consumer;Concord;United States;
IM-15070;Irene;Maddox;Standard Class;Consumer;Seattle;United States;
HP-14815;Harold;Pawlan;Standard Class;Home Office;Fort Worth;United States;
HP-14815;Harold;Pawlan;Standard Class;Home Office;Fort Worth;United States;
PK-19075;Pete;Kriz;Standard Class;Consumer;Madison;United States;
AG-10270;Alejandro;Grove;Second Class;Consumer;West Jordan;United States;
ZD-21925;Zuschuss;Donatelli;Second Class;Consumer;San Francisco;United States;
ZD-21925;Zuschuss;Donatelli;Second Class;Consumer;San Francisco;United States;
ZD-21925;Zuschuss;Donatelli;Second Class;Consumer;San Francisco;United States;
KB-16585;Ken;Black;Standard Class;Corporate;Fremont;United States;
KB-16585;Ken;Black;Standard Class;Corporate;Fremont;United States;
SF-20065;Sandra;Flanagan;Second Class;Consumer;Philadelphia;United States;
EB-13870;Emily;Burns;Standard Class;Consumer;Orem;United States;
EH-13945;Eric;Hoffmann;Second Class;Consumer;Los Angeles;United States;
EH-13945;Eric;Hoffmann;Second Class;Consumer;Los Angeles;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
TB-21520;Tracy;Blumstein;Standard Class;Consumer;Philadelphia;United States;
MA-17560;Matt;Abelman;Second Class;Home Office;Houston;United States;
GH-14485;Gene;Hale;First Class;Corporate;Richardson;United States;
GH-14485;Gene;Hale;First Class;Corporate;Richardson;United States;
SN-20710;Steve;Nguyen;Standard Class;Home Office;Houston;United States;
SN-20710;Steve;Nguyen;Standard Class;Home Office;Houston;United States;
